strata,time_months,n_risk,n_event,survival_probability,lower_95,upper_95
tratamento=Imuno,12,68,17,0.8000000000000003,0.7193282256527469,0.8897190144585791
tratamento=Imuno,24,50,18,0.5882352941176471,0.49238611462248055,0.70274272764774
tratamento=Imuno,36,28,10,0.45703901375016037,0.36014241949332537,0.5800057110284133
tratamento=Imuno,48,7,3,0.36058304832359794,0.24781314178952316,0.5246700550238335
tratamento=Quimio,12,54,11,0.8307692307692306,0.744438894700316,0.9271110358503494
tratamento=Quimio,24,42,12,0.6461538461538457,0.5397671405254834,0.7735090959648666
tratamento=Quimio,36,19,15,0.3827694810482272,0.2762598459662019,0.5303430004802572
tratamento=Quimio,48,8,8,0.21037998712992984,0.12261629116679294,0.3609613254782241
