term,coefficient,hazard_ratio,standard_error,z,p_value,lower_95,upper_95
tratamentoQuimio,0.15657768177537493,1.169501607751674,0.20938139944384246,0.7478108475312304,0.4545742581737129,0.7758451558292225,1.7628955987640573
idade,-0.01768808052599293,0.9824674352949413,0.010161269339325402,-1.7407353289551941,0.08172998254972551,0.9630944409518345,1.002230124452865
estadioIII,0.27358385094204746,1.3146675907064467,0.2641863353739144,1.0355715429219015,0.30040207368128474,0.7833216687358341,2.2064382271502803
estadioIV,0.8035381800437913,2.233429239896,0.26788698923102494,2.9995416438490126,0.002703861587624151,1.3211325078118645,3.7757046625733084
