term,estimate,std.error,statistic,p.value,conf.low,conf.high
age,1.0542162535139024,0.008495230729875318,6.214969888931758,5.133449296176749e-10,1.037598567055245,1.072884240447252
male,2.5820973965084346,0.3092599922658709,3.0673285804159836,0.0021598129912216222,1.421133839405648,4.79939074139899
comorbidity,2.955602699908657,0.3092963251669024,3.5037680736631556,4.5872468548127334e-4,1.6229735237060028,5.480221988387026
vaccinated,0.1923272498681207,0.30819665751473285,-5.349042214597581,8.842091756026291e-8,0.10357925125527222,0.3482199484320834
