term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),81.74993687042392,4.545283762226937,17.98566187435809,2.559027707189835e-47,72.79902823639445,90.7008455044534
age,0.6640138642075264,0.03714932034297866,17.874186070621537,6.223914469303789e-47,0.5908566776376437,0.7371710507774091
bmi,0.6150804092452938,0.14652324911816123,4.19783490297347,3.7208546222271285e-5,0.32653600052938325,0.9036248179612044
sexMale,4.541277113571477,1.2315424905924794,3.68747091412715,2.7655135755434354e-4,2.1160326428461724,6.966521584296781
