term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.002050509159418089,1.3644037258602337,-4.536536385020734,5.7185627307462994e-6,1.265030337872765e-4,0.027204891731940056
age,1.0596253212732063,0.01192889817247746,4.855048161547969,1.203574880569406e-6,1.0361871461326728,1.0860521643186616
bmi,1.0494587844922687,0.038712373048198995,1.2470066839365965,0.21239504678882687,0.9732385679256809,1.1335413268889063
sexMale,1.1601791419717082,0.34504506125300227,0.4305942690194199,0.666763408994796,0.5927450753868962,2.306784750196422
