term,estimate,std.error,statistic,p.value,conf.low,conf.high
treatmentStandard,1.3306525605292212,0.19766987873354167,1.445184621706107,0.14840603477042288,0.9032495797435895,1.9602956663933495
age,1.0122943030421183,0.0069804285201374005,1.750514575826154,0.08002956125346515,0.9985390216433727,1.0262390690401209
stageIII,1.477381195563305,0.2755834820450332,1.4161627361510276,0.15672786337295716,0.8608262100401168,2.5355352468907078
stageIV,2.2668724585987094,0.2892661584450917,2.8292321312323185,0.004665984189089027,1.2858884207259353,3.9962337794848106
