variable,odds_ratio,conf_low,conf_high,p_value,direction,statistically_significant_0_05
Age (per year),1.043426007017443,1.0309049276688798,1.0560991638504038,5.1456529304288575e-12,Higher modeled odds,TRUE
Male sex,1.3527492509128414,0.9053043783848239,2.0213428538919453,0.14034752901381095,Higher modeled odds,FALSE
Diabetes,2.946744992086729,1.7140405373847076,5.06598639821976,9.26141111562239e-5,Higher modeled odds,TRUE
Hypertension,1.6482410667783973,1.0777241899497647,2.5207735332928003,0.02114899402281483,Higher modeled odds,TRUE
Obesity,1.661264253015486,1.0611742048124975,2.6007029815003264,0.026442360641962495,Higher modeled odds,TRUE
