term,odds_ratio,conf_low,conf_high,p_value
(Intercept),0.03189087943237503,0.014935703421478506,0.06809375911332897,5.465226284615281e-19
idade,1.043426007017443,1.0309049276688798,1.0560991638504038,5.1456529304288575e-12
sexoMasculino,1.3527492509128414,0.9053043783848239,2.0213428538919453,0.14034752901381095
diabetesSim,2.946744992086729,1.7140405373847076,5.06598639821976,9.26141111562239e-5
hipertensaoSim,1.6482410667783973,1.0777241899497647,2.5207735332928003,0.02114899402281483
obesidadeSim,1.661264253015486,1.0611742048124975,2.6007029815003264,0.026442360641962495
