strata,time_months,n_risk,n_event,survival_probability,lower_95,upper_95
tratamento=Imuno,12,55,18,0.7534246575342466,0.6607638225564957,0.8590795912287745
tratamento=Imuno,36,43,12,0.5890410958904108,0.48633039021642843,0.7134438226107289
tratamento=Imuno,60,28,15,0.38356164383561614,0.2867719471577196,0.5130192687256361
tratamento=Quimio,12,56,21,0.7272727272727272,0.6343005414903662,0.8338722501985187
tratamento=Quimio,36,30,26,0.38961038961038946,0.2945877555985247,0.5152836559141757
tratamento=Quimio,60,20,10,0.25974025974025955,0.17814705695324126,0.3787039970446732
