term,coefficient,hazard_ratio,standard_error,z,p_value,lower_95,upper_95
tratamentoQuimio,0.6520183585336926,1.9194109815566356,0.21286177616021623,3.063106821221548,0.0021905185067192046,1.2646772402470658,2.9131057307558397
idade,0.004476252997492968,1.004486286383013,0.008914522985097413,0.5021304005807165,0.615575796892013,0.987088190964584,1.0221910349728198
estadioIII,1.0750161257328867,2.9300401491975343,0.2580913938581283,4.165253671045763,3.110065620050435e-5,1.7667934422000078,4.859161841363479
estadioIV,1.63093815920092,5.108665212335821,0.2809710705676402,5.804647987089804,6.450136987101542e-9,2.9454010275935656,8.860749353731643
