horizon_week,point_forecast,lower_80,upper_80,lower_95,upper_95
1,103.45775914616115,78.55367181739577,128.36184647492655,65.37024433634701,141.5452739559753
2,108.73554663992849,83.8314593111631,133.6396339686939,70.64803183011435,146.82306144974262
3,104.34665813967919,79.44257081091381,129.25074546844456,66.25914332986505,142.43417294949333
4,112.95776963942988,88.0536823106645,137.86185696819527,74.87025482961576,151.045284449244
5,123.34665813967919,98.44257081091381,148.25074546844456,85.25914332986505,161.43417294949333
6,125.23555013768475,100.33146280891937,150.13963746645015,87.14803532787062,163.3230649474989
7,111.12445612671527,86.22036879794989,136.02854345548064,73.03694131690114,149.2119709365294
8,137.40221563843266,112.49812830966728,162.30630296719806,99.31470082861853,175.4897304482468
9,135.01332713818334,110.10923980941796,159.91741446694874,96.9258123283692,173.10084194799748
10,144.1244351401778,119.22034781141242,169.0285224689432,106.03692033036367,182.21194994999195
11,142.45775914616115,117.55367181739577,167.36184647492655,104.37024433634701,180.5452739559753
12,164.735539644416,139.8314523156506,189.6396269731814,126.64802483460187,202.82305445423015
